ID,Text,Sub-task A,Sub-task B
C4.544,Bohot jyada overacting ki hai,NAG,NGEN
C36.253,"Hmare desh me homosexuals ko nagrikta mil chuki h to is base pe sbhi ko sman
adhikar h homosexuals logo kko bhi desh ki rksha me apni bhumika ada krne ka
mouka milna chiye",NAG,NGEN
C7.692,"Bhai Sun  
Salut You 🤗",NAG,NGEN
C21.51.1,"@Pratik Borade wah ji wah itna likhne ki kya jaurrat thi maine to sirf video
banane ko kaha tha...apne to modi bhakti me dandwat ho gaye hai😀",CAG,NGEN
C4.1869,Wow bhai woww tum se judke Mai duniaa ki really dekha na sikha Raha hu👌👌👌,NAG,NGEN
C36.602,"Muze lagta hay ki Bharat me sabki jine ka Adhikar hona chahiye.aur sabko Desh
ki seva karneka mouka milna chahiye.kya pata? Mahabharat ki tarah kisi Jang me
koi shikhadi mile aur wo Jang jitale?",NAG,NGEN
C59.963,Jio bhai,NAG,NGEN
C7.543,"Arrre yrrr inn feminist logon ko sunta kon  
Jhaat kisi ko koi fark nhi padhta h voh kya sochti h humme toh movie ek no.
Lagi ...  
Kiski aukaad jo humara mind change kr ske saaalaa...  
[#FakeFeminism](http://www.youtube.com/results?search_query=%23FakeFeminism)",OAG,GEN
C7.1707,"Kabhi ye sabh baato se upar uthke k movie ka review karo yaar....sach me mai
pakk gaya aapka review dekh k...aap movie review choddke k....koi ngo joine
karo yaar...kya Libera ...kya faminise yehi bolte rehte ho haar movie me...mai
sach me pareshan hogaya aapke review dekh dekh k",OAG,NGEN
C7.2511,12.25 spoiler de diya,NAG,NGEN
C7.595,"Abe cutiye o ek movie hai usse real life me mat le BC kuch kaam nahi koi bhi
topic le k video banao fuck of man",OAG,GEN
C7.2285,Kaha se ata ye log bc sale😡🖕,OAG,GEN
C4.89,"“Bollywood ka dimaag chutiya hee tha, 90 me bhi chutiya tha aur aaj bhi
chutiya hee hai”",CAG,NGEN
C36.501,Bilkul sahi kah rhe h. ..,NAG,NGEN
C7.1868,"bhot sahi bola bhai point h bhai ye feminism ka jhota jhanda le ke chalte h
hume problem nhi h feminist se ya feminism se...",CAG,NGEN
C4.1506,"Super 30 me banda apne sapne ke liye ladki chod deta hai , that's true
motivation... !",NAG,NGEN
C26.58,"बहूत सही किया जहाँगीर भाई इन जैसों के साथ यही होना चाहिए जो सिर्फ कुछ पैसे के
लालच में हम जैसे मरदो की जिंदगी से खेलती है उनकी यही सजा और यही ईनाम है आप ने
बहूत सही काम किया है",CAG,NGEN
C36.1080,Accha kaha bipin rawat sahab ne...,NAG,NGEN
C36.1073.1,Sahi kaha,NAG,NGEN
C4.79,Ek no ki baat ki Bhai aap ne I am your bigg fun Bhai,NAG,NGEN
C7.522,"Humare desh me har achchhi cheez se kuchh kharab log jud ke usko kharab kr
dete hai... Iska mtlb ye nhi k wo cheez achchhi nhi hai.. Bas kisi tarah un
kharab aur publicity ke bhookhe logo ko hataya jaae bas..",CAG,NGEN
C33.223.4,Ha bhai up se he hu,NAG,NGEN
C4.1520,Bollywood totally chutiyapa he...,OAG,NGEN
C33.315,Sabko right wo log apni life jiye humlog apni,NAG,NGEN
C19.81,"अरे! लल्लनटाप वालों, इस श्वेतांक को फिल्म समीक्षक बना कर हमसे किस बात का बदला
ले रहे हो? तुमको हमारा नाम है वाले सौरभ द्विवेदी का वास्ता इस श्वेतांक को कुछ
दूसरा काम दो भइ|",CAG,NGEN
C7.1038,"movie review to kiya hi ni... ap jo bole wo thik bt h..lekin apko 2 video
banani chahiye...ek pure review banani chahiye",NAG,NGEN
C10.471,"Gaddari karne k liy paida hue hai. India m money rotation k liy aate hai yah
harami",OAG,GEN
C7.589,Urban naxals ka wing hai critics mafia,NAG,NGEN
C38.169,"Jo log janam se homosexual hai vo naturally hai aur jo bad me hote hai vah ek
bimari ( mental bemari ) hai...It's clear",OAG,GEN
C4.2138.2,Bhai pura boycott mat kar achi movies bhi banti hai,NAG,NGEN
C4.969,"Movie se log sikhte hai ladki ladka dono samaj bhi ek dum sahi universal truth
aur ye bat mere jaise 21 ka laudna smajh sakta hai",NAG,NGEN
C33.223,Bhai UP 11 to mere yaha ka number h saharanpur ka,NAG,NGEN
C32.78.3,@SHAYRI & WHATSAPP STATUS ha ji,NAG,NGEN
C4.1244,"Aaram se bhai..share karne layak video banaya karo yar...review video to Kam
se kam 😀😀😀",NAG,NGEN
C9.189,"सौरभजी अरुंधती रॉय ने बोलनेके आजादिका इस्तेमाल किया और आप करता कर रहे हो ?
उसकी न्युज बनाके बढावा दे रहे हो.  
क्या यह सही है ?",CAG,NGEN
C7.2150,Yaar tum movie ke hisab se dress badi achhe chunte ho... 😉😅😅,NAG,NGEN
C38.609,yellow shirt vale jat ki gand todo,OAG,NGEN
C23.45,Itna late bhai,NAG,NGEN
C7.408,maaa ki aankh feministo ki,OAG,GEN
C7.2369,Bhai intersteller ka review kab karonge...,NAG,NGEN
C25.575.3,Raja Ch,NAG,NGEN
C33.242,bahut acha. nice,NAG,NGEN
C19.57,Bhai film bahut acchi he,NAG,NGEN
C10.1301,"Mullo ka Lund le le Kar iska dharm parivartan ho Gaya....is Randi ko pakad Kar
Gau mutra pilao....shudhi Karo is Rand ki.",OAG,GEN
C9.109,Modi Shah ko Ranga Billa bol rahi thi prostitute,OAG,GEN
C20.46,screen time ko lekar bhi madam ko dikkat hai.,NAG,NGEN
C7.1580,Good sir lage raho,NAG,NGEN
C25.523,roj mar rahe he koi madad karne vala nhi,NAG,NGEN
C4.1833,"Aaj Acha laga galiya bakna shuru kiya wapas  
Thansk",NAG,NGEN
C33.235,"I think ye section ko banned krna chahye ye sb jo smjhte hain k is sec ko pass
hona chahye tha wo sico hain qk inho ne gandi videos dekh dekh kr aona ye haal
kr liya hai sooo sicho people apna ilaaj krwao na k ye gandi hrktein kro",CAG,NGEN
C19.124,Abe Kahna Kya Chaahte Ho Be😐😐,CAG,NGEN
C7.639,Swara Fucking bhaskar or Sonam Fucking Kapoor. Khn hyn 😂😂😂😂😂,OAG,GEN
C4.274,"Londa kiss krleta h aake aur bina ladki ke permission ke na hi ldki ne pehle
koi indication diya... kul mila kr frzi movie thi.aur kuch chutiye is movie ko
5-5 bar dekh ke aae...😑😑",CAG,NGEN
C32.27,Mumbai Chakala body massage ke liye Sampark Karen,NAG,NGEN
C4.1920,"Shahid khan?..🤔🤨  
.  
.  
.  
.  
.  
.  
.  
Family man dekhi na😄😁",NAG,NGEN
C4.451,"TUMBAAD movie  
pe view kya h bro?",NAG,NGEN
C19.141,Unnao Mein Hue bahut Bade hadse tankar fatane ki news dikhayen,NAG,NGEN
C7.368,JIo bhai....DIl ki baat bol di !!!!!,NAG,NGEN
C4.2120,"Bc Mumbai ki 1.5cr ki population me usko wo ladki dikhti hai ek park mein
MADARCHOD",OAG,GEN
C38.198,"[2:15](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=2m15s) Bhai Tu jjahhan
see BHI ..gand me base tube ghusa doonga..boom boom bajega",OAG,GEN
C4.16,Bhai tu great hai,NAG,NGEN
C7.1310,Mast review hai,NAG,NGEN
C38.176.1,Kaunsi rocket science lagayi hai Bhai? Samjhana Zara?,NAG,NGEN
C32.157,"Mast acting hai 3no ki ...  
Chnadu bhai super  
Palkesh bhi 1 no.lag raha hai😂",NAG,NGEN
C7.2229,Sir ji T shirt kaha se late ho,NAG,NGEN
C4.1607,"Bhaii bhott shii bolaa.. koi to bolta hai shi.. baki sb paise ke piche lge
hai..",CAG,NGEN
C36.353.2,"@Harshit Rawat Abb bhi maine kam sutra ni padhi hai .  
Aur gar tune padhi hai to tu marva fir .",OAG,GEN
C7.1845,"Waah bhaai, Maza aa gaya , kisine to genuine baat kahi , dil jeet liya yr",NAG,NGEN
C7.1338,Yaar ye log jo aise baat kehte aap unhe maaf krdo kyuki ye log randi se km nhi,OAG,GEN
C4.907,"Kabir singh bahut acchi movie thi because iss se hum bahut kuch sikhe hai kis
tarh log barbad ho jate h pyar m isse bach k rahna Zindagi m",NAG,NGEN
C7.1528,"[11:14](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=11m14s) to
[12:00](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=12m00s) excellent points
by prateek bhai. Maza hi aa gya.",NAG,NGEN
C7.2477,yarr climax me to ashu automatic nikal ta h,NAG,NGEN
C7.421,Liberals ki gaand jali💣💣💢💥💥,OAG,GEN
C7.2424.2,Are bhai quick review already upload kiya h,NAG,NGEN
C7.2306,Xtra ordinary journey f Fakir ka review karo bhai...dhanush favrt hai bro,NAG,NGEN
C4.1296,Bhai lagta hai teri kisi ladki ne zoooorrrr se maar ke gaye hai... 😂😂😂😂,CAG,GEN
C9.276.1,"पढ़े लिखो को अर्बन नक्सल कहना क्या सही है। ऐसे pm की इज्जत कैसे करेगा कोई। जो
दिन रात जुठ ही बोलता है।",CAG,NGEN
C25.512,"कानून का सहारा लेकर परिवार नहीं चल सकता । कोर्ट में जाकर पत्नी सुखी नहीं रह
सकती। पारिवारिक रिवाज समाप्त हो जायेगी ।प्रेम समाप्त हो जायेगा ।",CAG,NGEN
C26.239,sahi kara sale ne,CAG,NGEN
C21.53,Thanks sir.... Abhi ticket Book karta hu 😊,NAG,NGEN
C19.150,Aa gaya ghutkha khake sala c.....,OAG,GEN
C4.1247,"Mene Apne ek ristedar k liye suna ye bhosdi ka Kabir singh type ki movieme
gand marake bakchodi kar raha h",OAG,GEN
C38.688.1,Aayush peace abe tujhe land du kya ?,OAG,GEN
C4.857.2,Bahito,NAG,NGEN
C4.1057,"Sala chutiye... Bina baat kaa lodu 😂  
Sala sandeep mhsweri ki tatti  
...  
Kya bol rha hu nhi lodu kyu bol rha h tu 😂",OAG,GEN
C9.110.1,@Vijay Sharma sahi kaha,NAG,NGEN
C26.113,JIO MERE SHER...........,NAG,NGEN
C4.1225,"हिंदुस्तानी भाऊ जैसे गालीबाज को तुरंत ही 1 मिलीयन सब्सक्राइबर्स मिल जाते हैं
लेकिन हमारे भाई सालों से मेहनत कर रहा है फिर भी इनके सब्सक्राइबर्स इतने नहीं
बढ़ रहे, सही में इंडियंस चुतियां हैं",CAG,NGEN
C19.35,"Ye kaisa review diya he. Thoda experience le le bhai. Ghuma ghuma ke dimag ka
sahi Kiya tumne",CAG,NGEN
C9.97,"बोलने की आजादी है, लेकिन झूठ बोलने का अधिकार नहीं है",NAG,NGEN
C7.799.2,"@Pratik Borade hello, I know ignorance is bliss. But ankhein aur kaan khol ke
jiyo Zara. Google karo aur padho. Tumhe khabar pasand nahi aayi to jhooth Ho
Gaya? Sharam tumko khudpe aani chahiye",CAG,NGEN
C26.35,"Bhut achaaaaaaaaa Dil Khush ho gyaaaa ese randi maa baap ko esea he karna
chayee",OAG,GEN
C21.44,Climax nhi dekh paya kya tha batna bro,NAG,NGEN
C4.1283,"* इकाई दहाई सैकड़ा  
कबीर सिंह के गांड में केकड़ा *",OAG,GEN
C7.1477.2,चल मादरचोद,OAG,GEN
C7.2250,"Inn gujarati ganduo k liye sab liberals aur feminist h...  
Q ki inke baap Modi ne to apni biwi chod di... bhadwa modi ka ghulam..",OAG,GEN
C7.2452,"Pratik Bhaiyya.......Film company ki Sucharita Tyagi ne iss film ko bura bhala
kaha tha.......aapne Jo mu Tod jawab diya.....yeh uske gaalon par kaske ek
tamacha tha......Hats off Bhaiyya.....accha kiya aapne in Hypocrites ko jawaab
dekar👍👍👍👍👍👍👌👌👌👌👌👌",NAG,NGEN
C38.641,"at [3:10](http://www.youtube.com/watch?v=ZzsAuDkXq1M&t=3m10s) ...cummon bro
you have to be witty.....delhi ka hoke ye ans...srsly ....u should say ""KARKEE
DIKHAUN"".....",CAG,NGEN
C32.14,Koi benglor se he kya,NAG,NGEN
C7.646,Abe gandu tu itna chabta hai ki sar chakra gaya,OAG,GEN
C19.116,"Bhai bolana kya chahte ho, kuch samajh nahi aaya",CAG,NGEN
C20.318.3,@pankaj solanki Zabardast bhai!,NAG,NGEN
C9.323,"Mast h sir  
[#Drxpharmaclasses](http://www.youtube.com/results?search_query=%23Drxpharmaclasses)",NAG,NGEN
C7.2210.1,"Aare choro inn logo Ki chakkar main kyon par rahi hain aapna kam Karo aage
baro",NAG,NGEN
C4.1519,Aisa he gand marta raho chutiyo ke or bollywood ke,CAG,GEN
C4.1521,Ager zaban fisal gyi bsdk to retake lele nautanki ka.....cut ker gltiya,OAG,GEN
C7.2523,Aap kaunse area mein rehte hai,NAG,NGEN
C7.2595,Bhai ek group bano hum bhi leftist ko jawab dena chaate hain,NAG,NGEN
C29.14,Aap log RAHUL KEDIA Bhai se juriye....,NAG,NGEN
C7.1024,Bhai ne film companion walo me gand Mar li,OAG,GEN
C9.306.2,suna nhi rajdeep ne bola ki wo undemocratic tarika h.,NAG,NGEN
C4.515,Jo jo iss video ko dislike kiya hai wo choot se nikla hua chutiya hai,OAG,GEN
C4.372,"Ye banda alag hi h bhai😂  
sama bana deta h bhai tu❤️💪💪💪",NAG,NGEN
C7.728,"are ye famanist jub kaha thi jub veere di wedding aayi thi usme to
mastrabation bhi kerte hue dikhaya tha us film me  
tab kaha thi ye famanists",CAG,NGEN
C21.7,"Jaj to paka hipatitus ka mariz tha wo bhi angrez waaaa...  
Shakl bhikari se bi buri",CAG,NGEN
C4.784,"shahid kapoor ko dekhna chahiye ye video..phirse morphine leke bhand ho
jaega😆🤣😆😂keh k le li bhai.👍",NAG,NGEN
C7.1085,"Aap ekdum sahi bol rhe hai, yeh review bhi shaandar laga mujhe  
<https://www.youtube.com/watch?v=3-k7BpiO0kY>",NAG,NGEN
C4.1774,"[16:50](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=16m50s)  
Oho tabhi to main kahu tum kahan the 🤣🤣",NAG,NGEN
C7.2228,"Pratik ji apse request h ki km se km film k important part ko explains na kre
issey movie dekhne ka excitement kam ho jata hai.......😒😒😒😒😒",NAG,NGEN
C4.1145,"Simple formula of Bollywood.!!!! Bollywood shamaj chuka hai. India walo ko
pyar sikhao. Fir ( sunny leone) se ( man force condom) ka add karau.!!! Acting
🎭. And condom jaise product tagde se becho.!!!!?!  
Realty of Bollywood 😂😂😂😂",CAG,NGEN
C7.2571.4,"PK jaisi filmo mein sirf Hindus ka hi mazak banaa ,kisi aur religion ki baat
nahi ki .  
Waise Prateek Ji NE toy story 4 ka review kiya usme politics nahi hai .",NAG,NGEN
C7.867,"Liberal + gandu = librandu  
In chuti o ko me rula u nga👺👺👺",OAG,GEN
C38.188,Ye log idolatry karne ke liye promote kr rahe hai,NAG,NGEN
C10.835,Kung Fu kutta(arnab goswami)😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,OAG,NGEN
C10.1249,"Chopra Sahab to ganja pike baithe he Infront of cam..  
Arnab ji app kya Puch rahe ho aur unhone kya Ans de rahe he...  
Wo ate he debate me just for time pass",CAG,NGEN
C38.481,"ladkiya bakchodi sirf videos mai krti hai (i dont mind any color i aint
racist) color and walar adrak and lasan",CAG,NGEN
C38.586.1,Aao kiya Delhi kabhi tumhe bhi randawa baba ke bejenge,OAG,NGEN
C4.2132,"Wada waw wada wau wada wau wada wau  
  
  
  
  
Ye hi accha tha is movie me",NAG,NGEN
C7.372,yar film h ye koi reality nhi he,NAG,NGEN
C7.724,औ स्त्री friendship krogi?? 😂😂😂 lol,NAG,NGEN
C7.1484,Bhai kuch bhi bol rha hain ye puri movie chutiyapa hain,OAG,NGEN
C4.1447,Bhai TM larki hote kasm se baba PTA kr rahe the... Love you bro,NAG,NGEN
C7.401,super sach bat,NAG,NGEN
C4.605,"Abe ek 3gante ke movie pe itna Kun. Bolta ha be movie ha deku enjoy Karu
kattam Karu",NAG,NGEN
C9.13,Jyada overreacting,CAG,NGEN
C10.820,Chachi ki muchae hoti tu kya hota ....🧐,NAG,NGEN
C7.486.1,Kabir singh😎,NAG,NGEN
C36.825,Bilkul nhi hona chahie warna internal environment khrab hoga definitely,CAG,NGEN
C26.18,Sahi kiya bilkul sahi kiya,NAG,NGEN
C7.1457,"South movie k support mein Sabse aage rhte ho tum, robot and Bahubali movie h
fuddu banate h , always one man army heroes",NAG,NGEN
C32.78.1,Ha ji,NAG,NGEN
C4.438,Chutiya saal la 😂😂😂😂,OAG,NGEN
C36.1142.1,@Shivani Mahajan are yar ye sab tumhare feck dp ka kamal h😊😊😊👍,NAG,NGEN
C33.452,Kyaa Baath hay baccha thoo naee pedaakani dharrthi maa bacch gayii jai hooooo,CAG,GEN
C4.982.1,Sahi bat,NAG,NGEN
C4.1529,"Bhai mujhe to sbse jyada gussa Ayushmann Khurrana ki 'Andhadhunda' pr aa rhi
h, jisko pata nahi kin chutiya Board walo ne 'National Award' de diya😡  
Matlab ye log sarkar Ko bhi paisa khilate h!",OAG,NGEN
C19.59,"Yes shwetank Bhai, aapki anchoring me thori improvement ki zaroorat hai
otherwise aap ache anchor ho and bahut ache ban sakte ho",NAG,NGEN
C7.1237,"प्रीति जैसी गर्लफ्रैंड हो तो लड़का दूसरी लड़की की तरफ क्यों देखेगा।।।।।  
  
  
  
  
  
Good job Bro........  
  
  
  
मराठी पाऊल पडती पुढे........ जय महाराष्ट्र  
  
  
  
  
  
  
और हा ये स्त्री पुरुष समानता के चलते ये समाज बरबाद हो जायेगा।  
  
  
  
I really respect women....  
  
लेकिन भाई कुछ चीजें हैं जो ढकी हुई ही अच्छी लगती हैं।  
  
  
कभी कभी तो लगता हैं।  
  
  
BC इस्लाम ही सही हैं।",CAG,GEN
C32.122,"Bullshit........ye video society ko lgbt ke against rakhne me kafi sahayak
hOAG",NAG,NGEN
C7.952.1,"Abe chutiye film ko samjne ke liye tere pass dimag nahi, Kabir Singh ko anger
issues hai , vo short tempered hai , tu kya chahata hai film tere hisab se
bane gandu .",OAG,GEN
C26.60,"Jhangir ney jo kadam uthya vo galat hai lekin uski sicology to samjheeye 3
months prison destroyed his life...he lost his parents that is why he took
this step....HAR INSAAN SANT MAHATMA NAHI HO SAKTA HE IS A NORMAL GUY",CAG,NGEN
C4.112,Dekho bhiyya jab tak canema hai tabtak log chutiye bante rahenge,CAG,NGEN
C7.2113,Bhai t shirt mst hai 😂😂😂,NAG,NGEN
C21.184.4,"@Rajveer Singh Chauhan aur pakistan ko donation dene wala srk sachha desh
bhakt hai na??",CAG,NGEN
C43.88,"Behen ke lodo gay tumhari maa ki chut . Kanoon pass ho ya nA ho ye samaj tumko
kabhi nahi apna sakta samje madarchod logo ...tumhara naa tho value kal tha
naa aaj hain or nas kabhi hog tumhara kanoon pass karne wala bhi behen ka loda
meetha gandmara hoga aa thuuuuuuuuuk.",OAG,GEN
C7.1226,"Sir movie apne jgha ek dm sahi hai m agree krta hoon lekin aapne unn feminist
liberals ko jo krara tamacha mara h na bhaiya mere dil ko bht sukoon mila 🤗🤗",CAG,NGEN
C7.2094,A review tha...!!!!,NAG,NGEN
C59.415,ek like to banta hai bhai k leia,NAG,NGEN
C21.328,"Kya baat hai pratik bhai itni der raat upload 😍 Sahi ja rahe ho bhai ji just
soch raha tha kya dekhu itne me aap aa gaye bhai ©Support from  
 **Vaibhav Vlogs(YouTube Channel)**",NAG,NGEN
C4.1406,Joker Movie pe review bana de bhai,NAG,NGEN
C7.2489,"Sir interstellar ka review karo plz  
..  
.mujhe bo film samajh nahi aata ♥️♥️♥️love u sir ...god bless u",NAG,NGEN
C4.1130,"Bilkul sahi kaha sir aapne is video pe.... Yahi h bollywood k chutiyape aur us
character ko copy krne wale chutiye😂😂😂",CAG,NGEN
C36.445,"yes,sabhi homosexuals ko army ko join karne ka hak hona chahiye",NAG,NGEN
C19.120,NAMASKAR,NAG,NGEN
C7.300,"लिबर्ल्स इन चार फिल्मों के बारे में क्यो नही बोलते?  
1\. Veere di wedding.  
[2.one](http://2.one/) more shots  
3.lust stories.  
4\. Gandi baat.",NAG,NGEN
C21.272,Sahi hai bosss,NAG,NGEN
C38.545,"BAKWAAS, BEMATALAB, THIRD CLASS,",CAG,NGEN
C36.1045,Niche sare k sare opposite in nature hai....,NAG,NGEN
C9.104,"Arundhati Roy ek number ki chhinar hai, but ab buddi ho gai hai,",OAG,GEN
C4.584,"Self harm kerke body bhi NH banti kharab hojati hai Banda kamzor hojata. Hai
ya mota hojata hai fitnh rehta shakalbhi khraab hijati hai",NAG,NGEN
C7.1309,"Right kaha bro logo ko bass desh birodh wlaa hi film pasand he jese Salman
Khan banata he",NAG,NGEN
C36.1118.1,jitu Vishwakarma hindu,NAG,NGEN
C36.679,"ये हमारा वही 🇮🇳 देश है ना जिन्हें 🗡तलवार के बल पर अनेक राजाओं ने 🙋जीता! लेकिन
💎संस्कृति के बल पर कोई 🏇नहीं जीत पाया..?  
लेकिन अफसोस अब हमारे देश में कुछ 👨‍❤‍👨गांडु की वजह से.....👿👿👿",CAG,NGEN
C36.971,Chako ki army to pahle se h hi,CAG,NGEN
C4.1063,"maa kasam sahi mein bakchod movie thi bc... aaj prove bhi kar diya bhai
aapne😂😂👌",NAG,NGEN
C9.116,"Lallantop k Ranga bila....Sourabh khajdeep.,....",NAG,NGEN
C4.261,"Yeh Bollywood nahi Telugu movie ki remake hai
[bhaisaab.Movie](http://bhaisaab.movie/) ka director bhi same
[tha.Movie](http://tha.movie/) bekar hai phir bhi",NAG,NGEN
C10.1289,"Communist kutti, Rangi Bili..... Shakal se saitan, aakal se haivan. Desh ki
dushman......",OAG,NGEN
C7.2216,"183 dislike liberals,, bhosdiwalo idhar aate hi kyu ho,, partik paaji tusi
great ho,, love from punjab 🙏💚💚 💚😊",OAG,GEN
C25.457,"Agar Kisi ko girftar krna bhi hai to 498 a Mai to Sirf pati pr kesh hona
chahiye kyoki Sirf patni ki responsebilty hoti hai pati ki",NAG,NGEN
C4.923.1,"@Narendra Modi ek baat bol be jhantu is unique kya hai, bhasan Dena koi unique
nahi hota, naa hard work naa koi talent ye sab wese chutiye hote hein Jo sirf
jusroko safayi pelte hein aur tere Jese unki land chat te hein jaa ke apni
mere yahan Matt chuda🖕🖕",OAG,GEN
C7.2242.1,O istri friendship karogi 🤣🤣🤣🤣,NAG,NGEN
C19.70,"Upasna is movie review deti to kayamt h aa jati😂😂😂😂...
[#Pseudo](http://www.youtube.com/results?search_query=%23Pseudo)_feminism",CAG,NGEN
C20.138.1,"Haan jarur tum feminazi hogi. Isliye to sucharita ka review pasand aa raha
hai.",CAG,NGEN
C21.180,Bey yaar and wrong side raju dekhiee,NAG,NGEN
C59.361,"Louda...Aaa...bhikirin...khali Aaa...uskay Aagay kuch hay ki Nahin...Rly wali
khoj raheeay..",OAG,NGEN
C10.1186,When Payal was arrested unnecessarily without reason why not this Pagal kutthi,OAG,NGEN
C38.154,Autowala dil le gya yar,NAG,NGEN
C7.1009.1,@Avinash Shewalkar usko sanskriti chanhiye,NAG,NGEN
C38.557.1,han g gaand mraany ka bohat knowledge hai auto waaly paas 😂,OAG,GEN
C9.310.3,"Achaa Mai kuch bi bolu cahlega tuje bhai...kyu ki PM bol Raha hai....samjo
pahale bat Ko......ye bhadkaya ja Raha hai.....jo peaceful protest unko
bi....violent protest walo ka to chod hi de",NAG,NGEN
C23.37,Ye jis mahan critic ki baat kar raha hai pratik borade hai kya,CAG,NGEN
C26.241,"jiyo sher.fuck the nari samman.रावण की लँका जलनी शुरु हो गयी है।अब रावण कुछ ही
दिनो का मेहमान है।",OAG,GEN
C20.125,A gyi feminist Didi 😂😂,CAG,NGEN
C36.863,"मुझे लगता हैं इनको allow करना चाहिए. जब army Terrorists को पकडे तो ये लोग उनकी
Gaand मार लेंगे, इससे Terrorists कम होंगे, अगर UPSC में Question आया तो में
यही लिखूंगा",CAG,GEN
C7.1200,Bilkul Bhai absolutely sahi....Mera bhi dimag kharab hota hai,NAG,NGEN
C10.320,Chudain,NAG,NGEN
C7.1192,Bhai aap bohot accha kaam Kar rahe hai lage raho pratik bhai,NAG,NGEN
C7.1577,आपका रिव्यु देख के हमे तकलीफ हो रही है।,NAG,NGEN
C9.305,Debate kariye debate kariye debate kariye Kis se kre jhote pm se,CAG,NGEN
C21.13,"[4:36](https://www.youtube.com/watch?v=fQbbWQ9ol_w&t=4m36s) agr rape ka akda
dusre desh se km h tu iska mtlb ye ni ki wo glt ni h....",NAG,NGEN
C4.1763,sukar h kisi ne iss movie ki reality dikhai,NAG,NGEN
C20.180,Feminist behen ke ga$$d me aag lagi he😂,OAG,GEN
C7.1316,bhakts ke bare me to kuch bolo😂😂,NAG,NGEN
C7.1784,Bhai t shirt,NAG,NGEN
C10.1429.1,"Sadak par baith ja katora lekar, fir hai hai kar",OAG,NGEN
C7.2170.2,Hahahaha,NAG,NGEN
C4.2200,"Bhai apki videos dekne ke baad ab meri life me sb set hoo raha hai i m Focus
on my golas...",NAG,NGEN
C9.178,Tu ranga Or rajdeep billa,NAG,NGEN
C7.2412,aap to Hero Se Bhi Jyada cute dikhte ho so sweet,NAG,NGEN
C32.86,"Mera ak question hai. Ager ase hi chalta hara to larki lok kisse pyar karenge?
Gay hona buri bat nahi hai par yesa hOAG to future kya hOAG. Ye jo gay hote
hai ye sab love ke liye gay nahi hote sex ke liye gay ho jate hai. Ye kya thik
hai? Ager sach may pyar hai to sex chor kar pyar kar ke dikhao tab manu tumlok
sach may normal logo se alag ho.",NAG,NGEN
C21.41,"Section 375 ko jyada screen dena chahiye sirf 600 se 700??aur thugs of
hindustan aur race 3 ,zero jaisi bakwaas filmo ko 6000 screen ??kya hai kya ye",CAG,NGEN
C29.14.1,सनातन हिन्दू धर्म jee Bhai ...bahut accha...aap log mil kar Hindu ko jagayie,NAG,NGEN
C7.874,Bhai log ek 👌no. Picture h jarur dekhne jao yrr,NAG,NGEN
C19.78,Mobarak sir kahaan hain,NAG,NGEN
C10.739,"Ye chutia kapil ratta maar ke aaya h isko apna hi raag gaana h ye bhosdi wala
kanhaiya ka kutta lagta h",OAG,GEN
C9.218,रंडी है,OAG,GEN
C7.1464,sir aapki baato se mere dill ko bahut Sukoon Mila 😘😘😘😘,NAG,NGEN
C36.260,"India world ki largest democracy h jaha hum log sbke lie equality ki bat krte
h to hme ye bat prove b krni hogi sbko equal treat krke so hme gender k nam pr
kisi ko desh ki seva krne se nai rokna chahiye aur iske alawa logo k gender se
zyada unke kam pr focus krna chahiye.Thankyou so much sir🖒🖒",NAG,NGEN
C33.175.2,Hii.kaise.ho,NAG,NGEN
C4.1400,Kabir Singh ko chod dala,OAG,GEN
C4.1362,"Ha yaar bahut hi chutya movie tha.sab log keh raha tha badia movie tha isliye
dekha bt bilkul jhaand tha",NAG,NGEN
C4.1034,Jaguar leke ghumne walo ko doctori parne ki kiya zarurat hay?? 😂😂,NAG,NGEN
C33.25,Sabi ka acting nic he,NAG,NGEN
C38.45,Wo bhenchod sukha tilli jaisa... Khatam krdunga... Sala gandduuuu😠😠😠😠,OAG,GEN
C7.2571.5,"@Anil Bhargava are bhsi vo to thik hai lekin in cheezo ka alag se vidio bana
lo",NAG,NGEN
C61.414,Marr sali kooo,OAG,GEN
C23.59,Bro gullak tv show review karo,NAG,NGEN
C7.69,Ye jitne feminists hai ya libralsh hai ye sab pagal ho gye hai...,CAG,NGEN
C21.241,"Sir pehe hum insaan hai  
Baad Mei male ,female  
Aur dono hi crime Kar sakte hai",NAG,NGEN
C7.2497,Bhai sahoo move teser ko review karo,NAG,NGEN
C7.552,Chutiye tere jaise hee rote ha,OAG,NGEN
C21.291,13 reasons ka review karona,NAG,NGEN
C4.2155,Right bhai,NAG,NGEN
C7.996,"Bhai kya aap lakshya chaudhari ko jante ho?  
Wo bhi aapke jaise hi achhe u tuber hai",NAG,NGEN
